distance_km,time_of_day,traffic_level,weather,prep_time_min,delivery_time_minutes
2.7,night,medium,rain,11,32
8.9,afternoon,low,clear,9,36
2.3,night,high,rain,11,37
6.8,night,medium,rain,26,59
5.6,night,medium,rain,14,43
6.4,night,high,clear,23,56
9.3,evening,low,clear,25,56
4.3,night,high,clear,11,41
5.7,evening,medium,clear,23,51
1.8,night,high,clear,24,47
3.8,morning,medium,clear,22,38
9.2,evening,medium,rain,16,57
1.3,evening,high,rain,8,34
6.2,morning,high,rain,26,59
5.4,afternoon,high,clear,15,41
6.5,evening,medium,clear,10,39
9.2,afternoon,high,rain,18,65
3.4,afternoon,medium,clear,23,40
4.1,morning,low,clear,22,35
4.7,night,low,rain,12,34
7.6,evening,low,rain,10,40
5.2,night,medium,rain,24,53
7.2,night,medium,rain,11,47
4.9,evening,medium,rain,17,49
7.1,morning,low,rain,20,47
6.9,evening,medium,rain,15,52
3.3,night,medium,clear,25,45
5.7,afternoon,medium,clear,7,31
1.1,morning,high,clear,21,35
7.5,evening,low,clear,7,34
1.5,afternoon,high,clear,10,24
6.4,night,high,clear,10,46
3.3,night,high,clear,21,49
3.5,night,high,rain,15,45
1.7,morning,medium,rain,17,36
3.3,evening,low,rain,9,28
9.4,night,low,rain,10,46
7.9,afternoon,high,clear,21,57
1.9,morning,low,rain,21,29
5.5,morning,low,rain,15,35
4.0,night,high,clear,23,52
7.9,night,medium,rain,9,47
1.0,night,low,rain,17,31
4.6,morning,medium,rain,9,35
7.8,evening,high,clear,12,51
9.7,afternoon,medium,rain,10,50
4.2,morning,high,rain,13,41
2.7,afternoon,medium,rain,9,29
6.8,night,high,rain,7,46
1.5,morning,medium,clear,13,24
7.0,night,high,clear,25,60
1.6,afternoon,medium,clear,22,34
6.6,afternoon,high,clear,7,36
1.4,evening,low,rain,26,38
6.3,morning,low,rain,26,52
3.0,afternoon,medium,rain,19,37
9.8,afternoon,medium,clear,8,42
4.0,morning,medium,clear,20,35
4.3,afternoon,medium,clear,25,40
1.9,night,low,clear,22,29
1.1,morning,high,rain,20,42
8.1,night,high,clear,13,51
3.4,night,medium,clear,12,31
1.3,afternoon,high,rain,26,50
6.6,evening,medium,rain,7,42
2.7,morning,high,rain,24,50
5.2,afternoon,medium,clear,13,31
2.3,night,medium,clear,12,28
1.4,evening,medium,clear,20,31
6.6,night,low,clear,8,34
2.6,morning,medium,clear,9,24
7.5,evening,medium,clear,17,46
2.0,afternoon,low,clear,20,28
4.4,afternoon,low,rain,25,44
9.0,afternoon,low,rain,12,44
2.2,afternoon,high,rain,15,37
2.1,morning,medium,clear,10,23
5.1,afternoon,medium,clear,16,36
8.1,afternoon,high,clear,9,44
5.7,afternoon,high,rain,21,54
7.6,afternoon,low,rain,20,49
9.0,afternoon,high,clear,20,61
1.4,night,high,clear,20,40
5.3,morning,medium,rain,14,38
7.8,night,low,clear,18,44
6.8,morning,low,rain,16,40
5.1,morning,medium,rain,11,39
4.6,evening,high,rain,7,44
1.6,evening,high,clear,16,36
3.4,afternoon,high,clear,26,50
7.6,morning,high,rain,8,46
4.3,morning,medium,rain,12,36
7.3,afternoon,low,rain,14,42
6.8,afternoon,high,clear,17,48
3.4,night,medium,clear,9,27
5.1,morning,medium,rain,21,48
8.2,morning,low,rain,9,37
9.1,evening,low,clear,12,41
7.3,night,low,clear,23,51
1.2,night,high,clear,22,40
5.0,morning,medium,clear,9,26
8.2,evening,medium,rain,17,56
7.0,night,medium,rain,25,58
8.1,afternoon,medium,clear,22,50
3.6,morning,low,rain,16,32
2.5,afternoon,high,rain,12,40
8.6,afternoon,low,clear,10,33
3.8,afternoon,medium,rain,18,38
6.1,morning,high,rain,18,52
5.0,afternoon,high,rain,10,45
4.6,night,low,rain,17,38
9.7,evening,high,rain,22,75
9.7,afternoon,high,rain,17,65
7.6,morning,low,clear,16,35
6.6,afternoon,medium,rain,9,38
6.5,afternoon,high,clear,15,44
1.8,night,high,clear,23,43
5.4,morning,high,rain,19,51
8.7,evening,medium,rain,7,46
4.2,night,high,clear,13,42
5.0,night,medium,rain,12,43
9.7,night,high,rain,11,64
6.4,afternoon,low,rain,22,50
5.7,evening,low,rain,9,33
6.7,evening,medium,clear,24,52
6.1,afternoon,low,clear,19,36
5.4,evening,high,rain,22,60
5.2,morning,low,clear,15,29
6.8,night,low,rain,20,48
9.2,afternoon,low,clear,15,42
9.7,evening,high,rain,25,75
3.3,night,high,clear,18,43
6.2,evening,low,clear,11,32
8.9,afternoon,medium,clear,8,38
4.8,evening,low,rain,16,40
9.4,afternoon,high,clear,10,50
2.5,evening,medium,rain,15,38
7.2,morning,high,rain,11,47
5.7,evening,medium,rain,17,51
2.5,afternoon,low,clear,13,22
6.0,morning,medium,rain,9,35
2.2,morning,medium,rain,16,34
2.3,night,high,rain,12,42
1.3,morning,low,clear,11,16
3.8,afternoon,low,clear,20,32
8.1,morning,low,rain,20,47
2.0,morning,medium,clear,15,23
3.7,morning,low,clear,26,35
9.1,afternoon,high,rain,7,49
8.6,evening,high,rain,18,63
5.5,afternoon,high,clear,10,40
7.9,afternoon,high,clear,16,49
7.8,morning,high,clear,13,50
8.7,night,medium,clear,21,57
2.0,evening,medium,rain,13,34
4.7,evening,low,rain,10,34
5.5,evening,high,rain,24,63
1.7,night,low,rain,16,30
7.6,night,low,rain,16,51
4.9,morning,medium,rain,12,34
7.1,morning,medium,rain,23,56
1.8,afternoon,medium,rain,25,44
7.7,afternoon,low,rain,13,41
6.4,night,low,clear,20,44
3.5,evening,high,rain,18,50
6.4,night,medium,rain,11,46
2.0,evening,medium,rain,14,35
2.2,morning,high,clear,9,27
1.2,afternoon,medium,rain,11,24
6.6,morning,high,rain,21,57
7.0,night,high,rain,24,66
8.7,morning,low,rain,10,41
3.8,night,medium,rain,8,31
6.0,evening,high,clear,22,55
3.8,night,medium,clear,25,46
6.9,night,medium,clear,23,50
3.4,night,high,rain,16,47
1.3,morning,low,rain,18,29
6.3,evening,medium,clear,20,46
4.2,evening,low,clear,14,29
3.8,morning,high,clear,16,37
2.5,evening,low,rain,20,37
9.1,evening,low,rain,25,59
3.8,night,medium,clear,22,40
7.1,evening,medium,rain,12,48
4.3,night,low,rain,9,33
5.8,evening,medium,clear,16,45
4.6,afternoon,high,clear,25,48
4.0,morning,high,rain,20,48
8.2,evening,high,rain,20,67
3.8,night,medium,rain,26,52
7.0,afternoon,low,clear,25,45
6.9,night,medium,rain,25,62
1.5,afternoon,medium,rain,11,24
7.7,evening,medium,rain,17,57
9.2,afternoon,medium,rain,16,55
3.3,afternoon,medium,clear,10,22
1.2,evening,medium,rain,24,45
4.8,morning,low,clear,15,27
3.3,evening,high,clear,8,36
5.4,morning,low,clear,17,33
8.8,night,medium,clear,19,57
7.5,afternoon,low,clear,25,48
9.4,evening,medium,clear,14,51
8.0,evening,medium,rain,14,55
3.0,morning,low,clear,15,23
3.3,morning,medium,rain,10,29
4.8,afternoon,medium,clear,18,37
4.3,evening,low,clear,8,26
8.1,afternoon,medium,rain,16,52
7.3,morning,high,clear,21,54
9.2,night,medium,rain,9,54
7.8,evening,low,clear,21,49
8.9,night,low,rain,9,47
9.5,night,high,rain,17,68
8.9,morning,low,rain,23,53
4.8,evening,medium,clear,8,32
2.7,night,high,clear,7,30
6.7,evening,high,clear,10,44
5.6,afternoon,high,rain,17,51
8.9,afternoon,medium,clear,25,58
8.2,afternoon,low,rain,18,46
8.9,afternoon,low,clear,24,51
6.6,morning,medium,clear,15,41
2.5,night,high,rain,26,54
1.8,evening,low,clear,7,17
4.9,night,high,rain,10,45
2.8,evening,medium,rain,19,40
8.7,afternoon,medium,clear,20,49
8.1,morning,medium,rain,14,50
9.2,evening,high,rain,9,55
2.2,evening,high,rain,13,42
7.4,evening,low,clear,24,47
4.0,afternoon,medium,rain,26,51
9.7,morning,low,rain,23,58
3.7,night,high,rain,11,46
6.0,afternoon,medium,clear,23,45
4.1,night,low,clear,17,34
4.9,evening,low,rain,8,35
5.5,evening,high,rain,20,57
8.9,evening,high,rain,20,71
3.8,night,low,rain,8,27
1.5,afternoon,low,rain,15,23
5.2,morning,medium,clear,21,40
7.4,night,medium,rain,10,49
8.8,morning,medium,clear,13,46
2.6,afternoon,high,rain,25,53
6.3,morning,high,clear,20,53
3.2,night,high,clear,17,39
7.1,morning,medium,rain,25,59
2.0,evening,low,clear,9,18
7.4,night,medium,rain,26,64
4.0,morning,high,rain,17,49
10.0,afternoon,low,clear,16,44
1.5,morning,high,rain,9,30
2.6,night,low,clear,13,22
8.0,evening,high,clear,10,48
8.2,evening,high,clear,18,59
8.5,afternoon,medium,rain,19,55
6.1,night,low,rain,18,46
4.9,night,low,clear,23,40
5.2,afternoon,high,clear,22,49
6.8,morning,medium,rain,20,48
8.2,evening,low,clear,16,46
5.7,evening,high,clear,24,54
1.4,morning,high,rain,20,39
6.9,evening,medium,rain,25,58
5.5,morning,high,rain,12,48
8.6,morning,low,rain,16,46
7.5,night,high,rain,17,64
8.8,afternoon,low,clear,9,36
6.4,morning,medium,clear,7,30
1.1,night,medium,rain,26,45
3.7,evening,high,rain,16,46
2.2,afternoon,low,clear,13,21
2.9,afternoon,high,clear,20,42
8.7,afternoon,low,rain,21,50
4.8,morning,low,clear,21,38
5.2,night,high,clear,13,43
8.5,night,low,rain,7,40
8.6,night,medium,rain,25,66
6.0,evening,low,rain,19,46
6.3,night,low,clear,23,43
6.2,morning,medium,rain,22,49
6.6,evening,medium,rain,7,39
7.5,night,medium,rain,14,51
6.3,evening,high,rain,11,54
7.5,night,medium,rain,22,61
8.6,afternoon,medium,clear,22,50
2.8,night,low,rain,22,39
2.9,morning,low,rain,15,28
2.4,morning,low,rain,20,30
3.0,afternoon,medium,rain,17,38
7.9,evening,low,clear,8,38
4.9,night,low,clear,26,45
8.7,morning,high,clear,23,58
6.7,afternoon,medium,clear,16,42
7.9,night,high,clear,11,51
4.0,afternoon,low,clear,21,35
7.9,morning,low,rain,17,45
2.5,evening,medium,rain,18,41
3.2,night,low,clear,20,33
4.7,night,high,rain,7,42
7.9,morning,low,rain,17,46
8.0,night,low,rain,8,42
6.8,morning,high,rain,20,57
7.1,evening,high,rain,18,58
3.5,afternoon,high,rain,21,50
9.0,night,high,rain,19,69
8.9,morning,low,rain,19,53
7.7,afternoon,high,rain,13,51
6.0,evening,high,clear,7,38
8.2,evening,low,rain,20,57
2.0,morning,medium,rain,23,39
1.4,morning,medium,rain,25,41
5.1,afternoon,high,clear,18,44
7.0,afternoon,high,rain,23,63
1.9,afternoon,medium,rain,10,24
4.8,night,low,clear,8,25
2.2,afternoon,medium,clear,18,30
4.6,night,medium,rain,20,51
7.2,night,high,rain,12,53
2.1,night,low,clear,13,23
1.3,afternoon,high,rain,10,32
4.7,morning,medium,rain,8,33
2.1,evening,medium,rain,16,37
8.1,afternoon,high,rain,8,52
3.7,evening,low,clear,22,34
5.9,morning,low,rain,22,46
6.1,evening,medium,rain,26,57
2.2,night,medium,rain,11,34
3.9,night,medium,clear,19,38
1.4,night,high,rain,9,37
7.4,evening,high,clear,24,59
9.6,morning,high,clear,22,62
1.2,afternoon,low,rain,13,21
7.4,night,low,rain,19,51
5.4,morning,medium,rain,12,38
8.7,evening,medium,rain,9,47
1.9,afternoon,medium,clear,12,21
1.8,evening,medium,clear,8,23
3.9,morning,high,clear,16,39
3.9,night,medium,rain,19,48
9.1,morning,low,clear,26,53
5.4,night,low,rain,8,33
6.0,morning,medium,clear,20,43
9.2,morning,medium,clear,14,48
6.9,afternoon,medium,rain,21,50
6.7,afternoon,low,rain,24,53
8.0,night,high,rain,8,51
5.2,evening,high,clear,7,35
9.3,evening,high,rain,19,71
8.6,afternoon,high,rain,8,49
5.8,morning,medium,clear,19,42
8.5,evening,medium,clear,26,60
8.2,evening,high,rain,21,66
7.0,evening,medium,clear,21,53
4.0,afternoon,high,clear,26,49
9.1,afternoon,medium,rain,19,57
8.1,morning,high,clear,21,58
4.2,night,high,rain,19,51
7.9,morning,low,rain,18,50
5.0,afternoon,high,clear,15,43
7.4,afternoon,low,rain,14,40
5.4,evening,low,rain,22,50
7.4,afternoon,low,clear,19,38
3.5,night,low,clear,25,40
6.4,afternoon,low,clear,9,25
9.4,afternoon,high,rain,13,61
1.2,evening,high,rain,7,35
6.8,morning,medium,rain,20,50
7.1,night,medium,rain,23,60
9.0,afternoon,low,rain,20,53
3.8,night,low,rain,9,32
8.3,afternoon,high,rain,9,54
2.8,evening,medium,clear,10,24
4.9,morning,high,rain,15,46
5.3,evening,low,rain,23,50
9.5,night,low,rain,25,61
9.8,morning,medium,rain,9,51
1.6,night,low,rain,26,41
1.6,morning,high,clear,16,34
4.6,night,low,clear,21,38
8.2,morning,medium,clear,21,50
6.3,morning,low,clear,26,46
6.3,afternoon,high,clear,23,52
4.8,night,low,clear,11,31
1.5,evening,high,rain,23,52
7.8,evening,high,clear,11,50
6.4,evening,medium,clear,23,51
7.1,morning,low,clear,20,40
9.8,afternoon,low,rain,13,49
7.3,night,high,rain,25,69
4.0,evening,medium,rain,12,36
8.9,morning,medium,clear,7,39
7.2,night,high,clear,14,51
7.9,evening,high,rain,13,58
8.4,morning,medium,clear,9,38
6.0,afternoon,medium,rain,13,42
9.2,evening,low,clear,13,42
2.6,evening,high,clear,17,42
3.2,afternoon,low,clear,15,27
1.2,afternoon,medium,clear,17,28
3.7,afternoon,medium,rain,12,36
9.8,night,high,clear,10,53
9.3,afternoon,low,rain,18,50
4.9,afternoon,low,clear,24,37
2.3,afternoon,low,rain,11,26
9.7,night,low,clear,22,56
6.5,afternoon,high,rain,23,59
5.7,afternoon,medium,rain,23,52
7.4,night,medium,rain,25,61
9.3,morning,low,clear,13,40
3.1,afternoon,medium,rain,19,39
9.4,evening,medium,clear,11,49
3.7,evening,low,clear,21,36
4.0,night,medium,rain,20,46
5.5,evening,medium,clear,12,37
3.4,morning,medium,clear,16,33
5.6,morning,medium,clear,10,29
4.2,afternoon,medium,clear,17,33
7.7,evening,low,clear,24,53
1.1,evening,medium,rain,19,39
8.4,morning,medium,clear,19,47
7.5,afternoon,medium,clear,23,51
6.0,night,high,rain,17,58
3.8,afternoon,medium,rain,13,35
8.7,morning,medium,clear,25,58
3.8,morning,medium,rain,17,37
4.8,night,high,rain,17,53
6.1,morning,low,clear,17,35
8.2,night,medium,clear,19,49
4.5,night,low,rain,25,51
6.8,evening,low,clear,10,35
2.6,night,low,clear,13,22
9.7,evening,low,clear,16,50
1.6,morning,medium,clear,12,20
9.2,night,low,clear,11,42
5.3,morning,medium,clear,11,34
3.8,night,low,rain,25,44
7.5,night,medium,clear,7,41
5.0,night,high,clear,23,52
6.1,night,medium,rain,25,55
1.8,night,medium,rain,19,40
8.3,afternoon,medium,clear,12,44
7.6,night,medium,clear,25,54
7.3,morning,low,clear,15,39
5.8,morning,high,clear,22,50
7.9,morning,medium,clear,10,38
8.0,night,medium,clear,15,46
1.4,morning,low,rain,19,28
4.6,afternoon,medium,clear,7,24
7.4,afternoon,medium,rain,22,54
1.7,afternoon,high,rain,11,33
3.5,afternoon,low,clear,26,34
3.6,night,low,clear,7,22
2.4,evening,low,clear,8,21
5.8,night,high,clear,23,57
7.4,morning,medium,rain,21,51
1.0,night,low,clear,18,27
2.8,morning,medium,clear,7,19
2.7,morning,low,clear,12,21
1.4,morning,medium,rain,24,39
6.6,night,medium,clear,14,41
4.2,afternoon,low,rain,17,32
2.9,afternoon,low,rain,26,39
1.6,afternoon,medium,rain,26,41
9.9,afternoon,medium,clear,26,59
6.7,night,high,clear,17,51
7.9,evening,high,rain,9,53
6.5,night,medium,clear,23,52
9.9,afternoon,low,clear,16,44
4.9,afternoon,high,clear,8,32
5.5,afternoon,low,rain,13,36
3.1,night,high,rain,11,40
6.8,morning,high,rain,16,55
3.1,evening,medium,clear,13,31
9.2,afternoon,high,clear,26,67
5.7,afternoon,medium,clear,9,33
1.6,afternoon,low,clear,13,15
2.6,afternoon,low,clear,20,29
3.8,afternoon,low,rain,12,30
3.7,night,high,clear,15,44
5.3,evening,medium,rain,12,42
4.8,night,low,rain,7,32
4.8,morning,medium,clear,24,44
